x,y,Side,Balls,Strikes
0.641683959542,3.32878923896,L,0,0
0.638758296011,3.33141875256,L,0,0
0.635808561085,3.33402302494,L,0,0
0.632834638586,3.33660211318,L,0,0
0.629836408903,3.33915607283,L,0,0
0.626813748868,3.341684958,L,0,0
0.623766531642,3.34418882135,L,0,0
0.620694626577,3.34666771415,L,0,0
0.617597899094,3.34912168634,L,0,0
0.614476210535,3.35155078652,L,0,0
0.611329418027,3.35395506202,L,0,0
0.608157374323,3.35633455892,L,0,0
0.604959927651,3.3586893221,L,0,0
0.601736921544,3.36101939525,L,0,0
0.598488194674,3.36332482091,L,0,0
0.595213580664,3.36560564051,L,0,0
0.591912907907,3.36786189439,L,0,0
0.588585999364,3.37009362182,L,0,0
0.58523267236,3.37230086104,L,0,0
0.581852738365,3.37448364931,L,0,0
